"DEPCOM"	"LIBCOM"	"EPT"	"LIBEPT"	"DEP"	"INC"	"TH"
94044	"Limeil-Brevannes"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	332973352	13002
94046	"Maisons-Alfort"	"T10"	"Association des Communes de l'Est Parisien"	94	973503660	32166
94047	"Mandres-les-Roses"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	84153775	2338
94048	"Marolles-en-Brie"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	110297147	2293
94052	"Nogent-sur-Marne"	"T10"	"Association des Communes de l'Est Parisien"	94	801856769	18409
94053	"Noiseau"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	86340543	2356
94054	"Orly"	"T12"	"Val de Bievres - Seine Amond - Grand Orly"	94	250423531	12139
94055	"Ormesson-sur-Marne"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	199544447	5255
94056	"Perigny"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	47868340	1248
94058	"Le Perreux-sur-Marne"	"T10"	"Association des Communes de l'Est Parisien"	94	753507555	19042
94059	"Le Plessis-Trevise"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	331622134	10400
94060	"La Queue-en-Brie"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	182163848	5950
94065	"Rungis"	"T12"	"Val de Bievres - Seine Amond - Grand Orly"	94	117332429	3079
94067	"Saint-Mande"	"T10"	"Association des Communes de l'Est Parisien"	94	614145820	12077
94068	"Saint-Maur-des-Fosses"	"T10"	"Association des Communes de l'Est Parisien"	94	1807954308	43137
94069	"Saint-Maurice"	"T10"	"Association des Communes de l'Est Parisien"	94	284501737	7821
94070	"Santeny"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	86983048	1788
94071	"Sucy-en-Brie"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	488092810	13708
94073	"Thiais"	"T12"	"Val de Bievres - Seine Amond - Grand Orly"	94	461237716	16429
94074	"Valenton"	"T12"	"Val de Bievres - Seine Amond - Grand Orly"	94	127564699	6812
94075	"Villecresnes"	"T11"	"Plaine Centrale - Haut Val-de-Marne - Plateau Briard"	94	179320171	5063
94076	"Villejuif"	"T12"	"Val de Bievres - Seine Amond - Grand Orly"	94	737162088	31452
94077	"Villeneuve-le-Roi"	"T12"	"Val de Bievres - Seine Amond - Grand Orly"	94	268646798	11118
94078	"Villeneuve-Saint-Georges"	"T12"	"Val de Bievres - Seine Amond - Grand Orly"	94	325830179	18078
94079	"Villiers-sur-Marne"	"T10"	"Association des Communes de l'Est Parisien"	94	425902390	15577
94080	"Vincennes"	"T10"	"Association des Communes de l'Est Parisien"	94	1201638108	29408
94081	"Vitry-sur-Seine"	"T12"	"Val de Bievres - Seine Amond - Grand Orly"	94	1083954760	51294
95018	"Argenteuil"	"T5"	"Boucle Nord 92"	95	1305826636	60187
